"Plot_ID","Range_ELEV","SD_ELEV","Mean_Slope","SD_Slope","Mean_N","Mean_E","LTI","H","inc_ang_8h","glob_irr_8h","beam_irr_8h","diff_irr_8h","grf_irr_8h","inc_ang_12h","glob_irr_12h","beam_irr_12h","diff_irr_12h","grf_irr_12h","inc_ang_16h","glob_irr_16h","beam_irr_16h","diff_irr_16h","grf_irr_16h"
"F001",50.0215,11.3645,0.4672,0.1268,0.8588,0.2396,1.0134,1254.806,35.5477,600.2086,501.1079,94.8203,4.2803,42.1574,748.9661,654.5594,87.3632,7.0435,0,88.7442,0,88.0702,0.674
"F002",57.9702,14.1213,0.5185,0.0726,0.4093,0.8671,6.0894,1090.902,34.4261,584.9109,484.0569,93.6964,7.1576,35.6268,657.4935,565.2059,80.4968,11.7907,0,85.5977,0,84.4642,1.1334
"F003",19.9189,3.8868,0.4243,0.1826,0.1631,0.111,2.6369,1715.519,13.7473,271.5944,208.4768,58.2197,4.8979,47.4522,829.2595,728.2241,92.9983,8.0371,52.3867,817.3124,694.9343,117.4801,4.8979
"F004",25.8094,5.7084,0.3874,0.1576,0.4032,0.1036,3.026,1676.769,24.5071,442.0169,363.3468,76.5318,2.1383,69.9527,1041.1007,927.507,110.084,3.5097,47.8264,762.6633,649.1735,111.3514,2.1383
"F005",31.7737,5.5035,0.4121,0.1784,0.3731,0.0416,0.9765,1716.785,13.555,267.7865,205.6219,57.764,4.4006,54.4414,911.0211,804.1649,99.6352,7.221,56.7542,860.2101,733.7132,122.0962,4.4006
"F006",37.3439,8.5253,0.5111,0.2115,0.3738,0.1992,-1.9915,1711.646,7.3563,168.405,112.296,47.2304,8.8786,38.6227,715.4108,616.8736,83.9676,14.5696,53.2177,830.444,702.4431,119.1223,8.8786
"F007",34.0292,6.6583,0.5136,0.2181,0.2631,0.1213,-2.4865,1685.841,17.006,323.1769,256.3043,63.7203,3.1523,55.1037,915.1416,810.0755,99.8926,5.1735,52.8344,819.0685,698.3461,117.5701,3.1523
"F008",33.6554,8.5145,0.5205,0.2271,0.3874,-0.0096,-3.1318,1662.819,16.9213,322.2249,254.8301,63.721,3.6737,62.3896,986.4492,874.5786,105.8403,6.0302,55.2323,843.1909,719.2234,120.2937,3.6737
"F009",43.2018,9.0483,0.567,0.2496,0.0556,-0.0749,11.3246,1655.203,21.4786,397.6832,320.4897,72.0555,5.138,74.1721,1070.6846,949.3532,112.8972,8.4341,49.6603,786.5861,667.1608,114.2872,5.138
"F010",49.8102,11.0717,0.4953,0.1809,0.1103,-0.6908,3.6204,1576.059,27.5818,497.1869,404.0566,83.2255,9.9048,81.4669,1106.1302,973.6144,116.249,16.2668,38.1089,648.0894,538.5723,99.6123,9.9048
"F011",35.2438,8.2043,0.3729,0.1414,-0.5164,-0.49,-0.0519,1597.522,21.9333,400.9549,326.221,72.2761,2.4579,67.1437,1020.3953,907.7576,108.6016,4.0361,50.3722,789.5969,672.6595,114.4795,2.4579
"F012",60.6057,14.7743,0.5394,0.1237,-0.8453,-0.4117,-2.416,1620.084,7.38,168.138,112.2777,47.3739,8.4864,57.8765,952.2832,834.8325,103.517,13.9338,64.9114,930.2494,791.6299,130.1331,8.4864
"F013",70.3955,16.4762,0.6184,0.2471,0.747,0.0068,-2.0824,1661.535,14.3733,281.6499,217.3237,59.4262,4.9,46.4066,814.7485,714.7768,91.9284,8.0433,50.8768,799.7643,679.1752,115.6891,4.9
"F015",6.8724,1.4072,0.1135,0.1177,0.2661,0.3523,0.7467,843.973,32.7369,548.4383,458.6889,89.5404,0.209,59.2687,930.9283,828.1166,102.4668,0.3449,37.1099,607.969,511.7554,96.0045,0.209
"F016",82.4323,19.7185,0.6709,0.1349,0.4014,-0.8509,-7.5667,925.571,0,82.6922,0,81.117,1.5752,80.8729,1086.0656,953.7694,115.9689,16.3273,26.9707,478.4483,386.0394,82.5096,9.8992
"F017",41.204,10.1253,0.4045,0.1203,0.5423,-0.7273,4.3584,901.76,0,88.124,0,87.3601,0.7639,69.3245,1021.1545,902.826,110.4179,7.9105,18.3354,339.4833,267.3922,67.2961,4.7951
"F018",48.8252,11.6292,0.4967,0.1071,0.2806,-0.6776,8.5819,918.231,58.7817,859.7609,727.532,123.9177,8.3112,65.6411,1002.451,879.6421,109.0994,13.7094,11.9727,241.5817,176.4779,56.7926,8.3112
"F019",50.0992,12.0842,0.4912,0.1138,0.6561,-0.5445,0.126,940.736,10.8206,222.2787,159.831,54.6422,7.8055,63.1838,982.5377,862.2622,107.4016,12.8739,60.8282,876.9095,743.3788,125.7253,7.8055
"F020",32.588,9.4994,0.3418,0.1809,-0.6454,-0.4432,4.8243,1328.77,17.9401,337.7139,266.2846,66.2252,5.2041,69.4735,1034.6757,915.5073,110.6049,8.5635,53.81,821.6854,697.7057,118.7756,5.2041
"F021",34.8124,9.5145,0.3989,0.1203,-0.724,-0.141,6.1434,1380.092,11.7833,238.4148,176.8703,55.4022,6.1422,60.8857,970.7327,855.2764,105.3521,10.1041,60.5502,886.0698,754.202,125.7256,6.1422
"F022",47.3094,11.2624,0.4402,0.0954,-0.6084,-0.6329,1.537,1439.109,10.3,214.8002,155.2111,52.7533,6.8358,59.7716,963.2053,847.3027,104.6616,11.241,62.0317,900.7513,766.6804,127.235,6.8358
"F023",30.3624,6.8826,0.3756,0.1688,-0.3758,-0.4262,11.6983,1521.051,40.7089,677.1613,567.8546,102.7797,6.527,83.5999,1103.4097,976.7454,115.9366,10.7277,28.1805,501.3876,411.1668,83.6938,6.527
"F024",36.8301,9.113,0.4052,0.1652,0.0836,-0.6506,-1.9528,1481.108,44.2533,716.9451,606.8073,106.9117,3.226,77.3826,1077.052,958.2158,113.533,5.3032,27.4112,485.3091,400.323,81.7602,3.226
"F025",27.8104,5.8143,0.3283,0.1609,0.3283,-0.4812,-0.3107,1525.591,26.5139,470.9165,388.81,79.9815,2.1251,72.7319,1053.6953,938.8188,111.384,3.4925,45.757,734.6929,623.9448,108.6229,2.1251
"F026",62.037,15.3184,0.566,0.1337,-0.7013,-0.5362,-2.4475,1542.299,4.8372,129.5747,73.4976,43.3678,12.7093,59.4665,973.6481,847.2881,105.4747,20.8853,64.4766,929.4807,786.5483,130.223,12.7093
"F028",45.7242,10.714,0.4678,0.1386,0.0637,-0.8526,-2.6218,1576.783,38.4722,647.3954,542.9339,99.3308,5.1306,85.4932,1105.9082,981.5868,115.8918,8.4296,31.4362,548.9219,455.1528,88.6384,5.1306
"F029",47.4708,11.0334,0.4789,0.1417,0.1496,-0.7374,0.8299,1616.057,47.9207,766.7151,648.7018,112.2482,5.7651,76.4027,1081.4617,958.129,113.8628,9.4698,22.4773,413.8459,334.1476,73.9332,5.7651
"F030",42.2025,9.6742,0.4062,0.1001,0.4089,-0.7619,-0.4335,1692.547,47.0431,757.1432,641.5352,110.9653,4.6427,76.5926,1082.3247,961.0361,113.6661,7.6225,24.0379,438.0213,357.0639,76.3147,4.6427
"F031",46.4188,9.6801,0.4479,0.1438,0.0508,-0.7622,-3.7142,1724.664,19.9595,374.5339,299.5938,69.4189,5.5213,72.798,1066.0667,944.6566,112.3469,9.0632,51.1683,805.4119,683.6865,116.204,5.5213
"F032",30.813,5.4862,0.3134,0.1894,0.4245,-0.2584,2.2242,814.33,34.5766,576.9991,480.7574,93.1192,3.1225,82.2923,1073.6278,953.7566,114.7179,5.1533,36.7338,606.0704,506.6718,96.276,3.1225
"F033",21.8292,5.1243,0.2846,0.158,0.5762,0.1675,2.7054,849.951,40.9197,658.2443,555.6848,101.5872,0.9723,55.1411,891.6552,790.6356,99.4152,1.6044,27.4935,474.2271,391.6498,81.605,0.9723
"F034",16.5829,3.0765,0.1759,0.1225,0.4923,0.2532,3.1197,869.705,29.3328,501.0024,415.9487,84.4131,0.6406,67.8075,1002.1168,892.7221,108.3378,1.0569,42.7306,680.7133,576.145,103.9276,0.6406
